Date,Close,High,Low,Open,Volume,RSI,MACD,BB_High,BB_Low,SMA_20,SMA_50,EMA_20,Daily_Return,Volatility,Target
2015-03-16,27.75812530517578,27.75812530517578,27.296046544920685,27.520420732700018,143497200,51.17747827700017,0.2153464050625153,29.57062245671648,27.172360979867992,28.371491718292237,26.537693328857426,27.87866483285516,0.0110040743738211,0.0137116205637879,28.22241973876953
2015-03-17,28.22241973876953,28.284622533312284,27.913626083790135,27.96916453533174,204092400,56.04258701183619,0.2246196371464783,29.563512366197862,27.161920220472062,28.36271629333496,26.618289642333984,27.91160336023501,0.0167264333772272,0.0141934006798039,28.540117263793945
2015-03-18,28.540117263793945,28.69340402648501,28.073594323529928,28.213550697139112,261083600,59.04960145843493,0.2546686142837657,29.558824414290974,27.161055689773963,28.35994005203247,26.71887092590332,27.97179242623445,0.0112569201353061,0.0143394233120527,28.324626922607425
2015-03-19,28.324626922607425,28.71339631174125,28.302411867922636,28.602319343417296,183238000,56.239367497639336,0.2581189410712206,29.545612276906173,27.15316415894588,28.349388217926027,26.8150980758667,28.005563539288417,-0.0075504364328555,0.014432951159067,27.969175338745117
2015-03-20,27.969175338745117,28.524558373785165,27.80478193325487,28.491236645908533,274780400,51.85549774406593,0.2295255500573212,29.50030984228782,27.118491083920674,28.309400463104247,26.897621955871585,28.00208234397998,-0.0125492062025573,0.0145381536769069,28.260190963745117
2015-03-23,28.260190963745117,28.402369291693496,28.106904265372904,28.240197930861452,150838800,54.951612185491705,0.2277225664987696,29.292053792433276,27.1981199288802,28.245086860656738,26.967644119262697,28.026764525770016,0.0104048696994245,0.013251230382709,28.144670486450195
2015-03-24,28.144670486450195,28.444576136086017,28.11578940256136,28.264633763244095,131369200,53.48133277318835,0.2144995348496081,29.09734464054127,27.271088548850823,28.184216594696046,27.034824829101563,28.03803514777509,-0.0040877458132934,0.013224879682358,27.409347534179688
2015-03-25,27.409347534179688,28.173557491497697,27.409347534179688,28.111354670767113,206620800,45.1925603587907,0.1430369294180096,29.074376694399547,27.173871405881215,28.12412405014038,27.099513778686525,27.977960081818036,-0.0261265433050466,0.0132772126150233,27.60039520263672
2015-03-26,27.60039520263672,27.74257353801557,27.23606300636597,27.27160843766041,190291600,47.47048668619542,0.1006579280089923,28.94697526413035,27.16398150009084,28.055478382110596,27.163730812072753,27.941892853682443,0.006970164766556,0.0130035820502257,27.380460739135746
2015-03-27,27.380460739135746,27.70258312869527,27.30492924720013,27.673703739702116,158184800,45.144326757490866,0.0487632782154214,28.90642877515869,27.088785496386716,27.997607135772704,27.225407905578617,27.888276972195165,-0.0079685258811063,0.0127341525244044,28.073585510253903
2015-03-30,28.073585510253903,28.08024985525264,27.54708022165996,27.55818859325754,188398800,52.96647789792329,0.0628413744695954,28.822330424315513,27.11245808886808,27.967394256591795,27.31413578033447,27.90596903958996,0.0253145766143902,0.0140641806748431,27.64260482788086
2015-03-31,27.64260482788086,28.100241236455535,27.62705412549918,28.011379353603317,168362400,48.34979196400409,0.0387748555680964,28.700861632621137,27.124404442513143,27.91263303756714,27.397917366027833,27.880830637913583,-0.0153518218118461,0.0144011421140149,27.602615356445312
2015-04-01,27.602615356445312,27.795889812565672,27.347138094649253,27.7292429808278,162485600,47.93231722283293,0.0162873988148781,28.60575793608367,27.124204794324044,27.864981365203857,27.4688171005249,27.85428034054203,-0.001446660750119,0.014362233482175,27.840320587158203
2015-04-02,27.840320587158203,27.893637036917603,27.589287345262463,27.77589576687005,128880400,50.659515787140414,0.0174456502609388,28.586920857642912,27.11882693746207,27.85287389755249,27.54079788208008,27.852948407210405,0.0086116923212997,0.0140816132912544,28.291296005249023
2015-04-06,28.291296005249023,28.32684143925686,27.620392039897094,27.65149344720416,148776000,55.42928062585421,0.054129548418107,28.61101479014844,27.111395030408204,27.86120491027832,27.609185104370116,27.89476490788044,0.0161986431398653,0.014558116176111,27.99361228942871
2015-04-07,27.99361228942871,28.46235544029756,27.986947943880292,28.355722521723493,140049200,51.86513097268762,0.0585067841918345,28.58055988257163,27.11674732262857,27.8486536026001,27.669051933288575,27.90419304215855,-0.0105220954093118,0.0147258106082658,27.902524948120117
2015-04-08,27.902524948120117,28.080248717080543,27.762568624120924,27.958063414057815,149316800,50.788978523695285,0.0540032717826264,28.587803827410607,27.133717931622595,27.8607608795166,27.72656593322754,27.904033960839268,-0.0032538616441076,0.0139540662155713,28.115795135498047
2015-04-09,28.115795135498047,28.12023916234062,27.693704110033863,27.958066080579393,129936000,53.23561986336873,0.0668724633692932,28.56683123413972,27.250661632376392,27.908746433258056,27.80587059020996,27.92422640828794,0.0076434010102837,0.0133077149840472,28.23575782775879
2015-04-10,28.23575782775879,28.26019489016697,27.826995501839317,27.98028052660932,160752000,54.60283665351181,0.0857627574324162,28.599468428970955,27.276895516036372,27.938181972503664,27.860268478393554,27.95392896203693,0.0042667366041972,0.0127670460838938,28.18021583557129
2015-04-13,28.18021583557129,28.56232242775019,28.126899385571637,28.517888945434937,145460400,53.818302011668095,0.0951547917810735,28.60468691261096,27.344098869249393,27.974392890930176,27.89766757965088,27.975501708712407,-0.001967079917823,0.0126504846241835,28.058042526245117
2015-04-14,28.058042526245117,28.27797444620837,27.97140262762626,28.21354960199691,102098400,52.04684390054451,0.0916828191817131,28.61261918203312,27.36615832193417,27.989388751983643,27.940323791503907,27.983369871995915,-0.0043354284452269,0.0125003119214623,28.1646671295166
2015-04-15,28.1646671295166,28.242420644379937,27.99360939681727,28.082471283046583,115881600,53.485815044377205,0.096423460634849,28.60590941099292,27.36709283204907,27.986501121520995,27.97860683441162,28.000650451526827,0.0038001440468182,0.011945105365812,28.029151916503903
2015-04-16,28.029151916503903,28.23575507267787,28.015823227363462,28.053588976527664,113476000,51.37569153192439,0.0882284651725022,28.52674559418655,27.395160114126437,27.960952854156496,28.014091262817384,28.003366892669064,-0.0048115325627505,0.0116831768109959,27.713695526123047
2015-04-17,27.713695526123047,28.0224892725456,27.649270699868765,27.891419301645175,207828000,46.751839548891255,0.0556378197494282,28.480101222092426,27.380711346572124,27.930406284332275,28.03923915863037,27.975760607632083,-0.011254582062296,0.0118237002597407,28.346834182739254
2015-04-20,28.346834182739254,28.46235345227572,27.80700019732746,27.8958620865322,188217200,55.42340185702171,0.0799765764870663,28.528184807421127,27.370393645642835,27.94928922653198,28.07327308654785,28.011122430048577,0.0228456957687006,0.0126291982267634,28.19355010986328
