Date,Close,High,Low,Open,Volume,RSI,MACD,BB_High,BB_Low,SMA_20,SMA_50,EMA_20,Daily_Return,Volatility
2015-03-16,27.75812530517578,27.75812530517578,27.296046544920685,27.520420732700018,143497200,51.17747827700017,0.21534640506251534,29.57062245671648,27.172360979867992,28.371491718292237,26.537693328857422,27.87866483285516,0.011004074373821116,0.013711620563787937
2015-03-17,28.22241973876953,28.284622533312284,27.913626083790135,27.96916453533174,204092400,56.04258701183619,0.22461963714647837,29.563512366197862,27.161920220472062,28.362716293334962,26.618289642333984,27.911603360235006,0.016726433377227234,0.014193400679803935
2015-03-18,28.540117263793945,28.69340402648501,28.073594323529928,28.213550697139112,261083600,59.04960145843493,0.25466861428376575,29.558824414290978,27.161055689773963,28.35994005203247,26.71887092590332,27.97179242623445,0.011256920135306103,0.014339423312052745
2015-03-19,28.324626922607425,28.71339631174125,28.302411867922636,28.602319343417296,183238000,56.239367497639336,0.2581189410712206,29.545612276906173,27.15316415894588,28.349388217926027,26.8150980758667,28.005563539288417,-0.007550436432855578,0.014432951159067016
2015-03-20,27.969175338745117,28.524558373785165,27.80478193325487,28.491236645908533,274780400,51.85549774406593,0.22952555005732123,29.50030984228782,27.118491083920674,28.309400463104247,26.897621955871582,28.00208234397998,-0.012549206202557395,0.014538153676906926
2015-03-23,28.260190963745117,28.402369291693496,28.106904265372904,28.240197930861452,150838800,54.951612185491705,0.22772256649876965,29.292053792433276,27.1981199288802,28.245086860656738,26.967644119262694,28.026764525770016,0.010404869699424557,0.01325123038270903
2015-03-24,28.144670486450195,28.444576136086017,28.11578940256136,28.264633763244095,131369200,53.481332773188356,0.21449953484960815,29.09734464054127,27.271088548850823,28.184216594696046,27.034824829101563,28.03803514777509,-0.004087745813293409,0.013224879682358007
2015-03-25,27.409347534179688,28.173557491497697,27.409347534179688,28.111354670767113,206620800,45.1925603587907,0.1430369294180096,29.074376694399547,27.173871405881215,28.12412405014038,27.099513778686525,27.977960081818036,-0.0261265433050466,0.013277212615023383
2015-03-26,27.60039520263672,27.74257353801557,27.23606300636597,27.27160843766041,190291600,47.47048668619542,0.10065792800899231,28.94697526413035,27.16398150009084,28.055478382110596,27.163730812072753,27.941892853682443,0.006970164766556097,0.013003582050225702
2015-03-27,27.380460739135746,27.70258312869527,27.30492924720013,27.673703739702116,158184800,45.144326757490866,0.04876327821542148,28.90642877515869,27.088785496386716,27.997607135772704,27.225407905578614,27.888276972195165,-0.007968525881106303,0.01273415252440445
