Date,Close,High,Low,Open,Volume
2015-01-02,24.192604064941406,24.659506182275138,23.75446781268404,24.648441478964468,212818400
2015-01-05,23.51105308532715,24.042126622078253,23.32517827599419,23.962465507153777,257142000
2015-01-06,23.513269424438477,23.7721672375332,23.15258108261458,23.575227702283048,263188400
2015-01-07,23.842981338500977,23.942556919376344,23.610636065476097,23.721276350109513,160423600
2015-01-08,24.759082794189453,24.816616214984087,24.053197237023646,24.170477357014917,237458000
2015-01-09,24.785634994506836,25.060022405088077,24.387329327343235,24.93167928030907,214798000
2015-01-12,24.17490005493164,24.922827705158852,24.075324482860438,24.916189558785653,198603200
2015-01-13,24.389543533325195,24.960447781897706,24.09966654067397,24.65729280767819,268367600
2015-01-14,24.296606063842773,24.449288501616856,24.008940661725582,24.128432366224875,195826400
2015-01-15,23.637191772460938,24.35414038758057,23.601787757118135,24.34086409285663,240056000
2015-01-16,23.45352554321289,23.805362503417978,23.27871370223808,23.68365752291758,314053200
2015-01-20,24.057628631591797,24.1129487851088,23.566385398242883,23.8629006107402,199599600
2015-01-21,24.241281509399414,24.575413877251222,23.958041027221938,24.108511847532693,194303600
2015-01-22,24.87193489074707,24.88742446217416,24.278902931738003,24.39839463484841,215185600
2015-01-23,25.00027084350586,25.170656080302447,24.67941311569436,24.849800040727132,185859200
2015-01-26,25.026824951171875,25.305638862108914,24.960441812153917,25.168444340293735,222460000
2015-01-27,24.150562286376953,24.8896402990191,24.1262212875984,24.876362316261897,382274800
2015-01-28,25.5158634185791,26.13766300317951,25.5158634185791,26.02923430226332,585908400
2015-01-29,26.310260772705078,26.37443234220827,25.571182772424184,25.739356482562314,337745600
2015-01-30,25.92523193359375,26.553667930939003,25.85663381010451,26.1996193628405,334982000
2015-02-02,26.25051498413086,26.3700067016786,25.68625050976509,26.122173528901243,250956400
2015-02-03,26.25493049621582,26.35229276388965,26.024798583851574,26.221738085043217,207662800
2015-02-04,26.456300735473633,26.66651826072673,26.179700061379986,26.22174390407791,280598800
2015-02-05,26.645137786865234,26.709562617574388,26.491851062250362,26.662908809726655,168984800
2015-02-06,26.420761108398438,26.714004163225805,26.314126499870483,26.662908024891667,174826400
2015-02-09,26.596256256103516,26.62291363042409,26.309677617863073,26.336336687082827,155559200
2015-02-10,27.107213973999023,27.136095061304506,26.69400934269236,26.696229661023946,248034000
2015-02-11,27.742572784423828,27.75145914200605,27.213847220027088,27.273828015082834,294247200
2015-02-12,28.093578338623047,28.3201762363106,27.895861528916974,28.004716451194586,297898000
2015-02-13,28.231313705444336,28.27574380069617,27.913633609185215,28.27574380069617,217088800
2015-02-17,28.39792823791504,28.631190468113697,28.195767412422946,28.32239504441379,252609600
2015-02-18,28.59564208984375,28.608970777658705,28.313505768499276,28.3534935268434,179566800
2015-02-19,28.535663604736328,28.664513254672688,28.50900622536984,28.54232794957795,149449600
2015-02-20,28.768930435180664,28.768930435180664,28.44680795382774,28.573433915827366,195793600
2015-02-23,29.546463012695312,29.546463012695312,28.80446994307108,28.884445467268826,283896400
2015-02-24,29.362075805664062,29.679757593961313,29.139921941606865,29.533135230131812,276912400
2015-02-25,28.61119842529297,29.23545371286905,28.469020069179415,29.22656565884979,298846800
2015-02-26,28.973308563232422,29.07327713106697,28.126902824541162,28.61119665484146,365150000
2015-02-27,28.537885665893555,29.006630434896266,28.4890115466763,28.880001110615524,248059200
2015-03-02,28.67784309387207,28.942206749183107,28.502343023009654,28.71338852765152,192386800
2015-03-03,28.737829208374023,28.77337464662942,28.45569280064609,28.648969002535093,151265200
2015-03-04,28.555648803710938,28.782246635545594,28.506778084881965,28.680057782814917,126665200
2015-03-05,28.082469940185547,28.602309153184912,27.93806959383036,28.564543404185695,226068400
2015-03-06,28.124675750732422,28.74004114058892,28.049144258829877,28.524551645020985,291368400
2015-03-09,28.244638442993164,28.78447402467503,27.782558059471576,28.426804519875816,354114000
2015-03-10,27.66037940979004,28.26241620675902,27.502650362161962,28.08247211064381,275426400
2015-03-11,27.156084060668945,27.71813298675404,27.12720467255403,27.71369065585145,275756000
2015-03-12,27.64704704284668,27.74701729622156,27.020573228981956,27.171637920724486,193450800
2015-03-13,27.455997467041016,27.85809714605445,27.23162326651431,27.635943264020362,207309200
2015-03-16,27.75812530517578,27.75812530517578,27.296046544920685,27.520420732700014,143497200
2015-03-17,28.22241973876953,28.284622533312284,27.913626083790135,27.96916453533174,204092400
2015-03-18,28.540117263793945,28.69340402648501,28.073594323529928,28.213550697139112,261083600
2015-03-19,28.324626922607422,28.71339631174125,28.302411867922636,28.602319343417296,183238000
2015-03-20,27.969175338745117,28.524558373785165,27.80478193325487,28.491236645908533,274780400
2015-03-23,28.260190963745117,28.402369291693496,28.106904265372904,28.240197930861452,150838800
2015-03-24,28.144670486450195,28.444576136086017,28.115789402561358,28.264633763244095,131369200
2015-03-25,27.409347534179688,28.173557491497697,27.409347534179688,28.111354670767113,206620800
2015-03-26,27.60039520263672,27.74257353801557,27.23606300636597,27.27160843766041,190291600
2015-03-27,27.380460739135742,27.70258312869527,27.30492924720013,27.673703739702116,158184800
2015-03-30,28.073585510253906,28.080249855252642,27.54708022165996,27.55818859325754,188398800
2015-03-31,27.64260482788086,28.100241236455535,27.62705412549918,28.011379353603317,168362400
2015-04-01,27.602615356445312,27.795889812565672,27.347138094649253,27.729242980827802,162485600
2015-04-02,27.840320587158203,27.893637036917603,27.589287345262466,27.77589576687005,128880400
2015-04-06,28.291296005249023,28.32684143925686,27.620392039897094,27.65149344720416,148776000
2015-04-07,27.99361228942871,28.46235544029756,27.986947943880292,28.355722521723493,140049200
2015-04-08,27.902524948120117,28.080248717080543,27.762568624120924,27.958063414057815,149316800
2015-04-09,28.115795135498047,28.12023916234062,27.693704110033863,27.958066080579393,129936000
2015-04-10,28.23575782775879,28.26019489016697,27.826995501839317,27.98028052660932,160752000
2015-04-13,28.18021583557129,28.56232242775019,28.126899385571637,28.517888945434937,145460400
2015-04-14,28.058042526245117,28.27797444620837,27.97140262762626,28.21354960199691,102098400
2015-04-15,28.1646671295166,28.242420644379937,27.99360939681727,28.082471283046583,115881600
2015-04-16,28.029151916503906,28.23575507267787,28.015823227363466,28.053588976527664,113476000
2015-04-17,27.713695526123047,28.022489272545602,27.649270699868765,27.891419301645175,207828000
2015-04-20,28.346834182739258,28.46235345227572,27.80700019732746,27.8958620865322,188217200
2015-04-21,28.19355010986328,28.48012712747022,28.140231957606513,28.457913773045995,129740400
2015-04-22,28.57343101501465,28.6289694851199,28.062478106986084,28.211320800092256,150618000
2015-04-23,28.80668830871582,28.973303690350882,28.46679320136418,28.50233862966466,183083600
2015-04-24,28.942211151123047,29.019966375616807,28.70894886744142,28.988864963779235,178103600
2015-04-27,29.46871566772461,29.57535198830014,29.13548479297552,29.39318414966676,387816800
2015-04-28,29.00440788269043,29.888579310474817,28.784477727247477,29.870809984413906,475696000
2015-04-29,28.577871322631836,29.233224506626065,28.502339826670195,28.91554612607042,253544400
2015-04-30,27.802555084228516,28.577871557806247,27.675927455621842,28.577871557806247,332781600
2015-05-01,28.646739959716797,28.908883280787258,27.835879715578056,28.013601789062115,234050400
2015-05-04,28.59120750427246,29.006637620531052,28.49345924162338,28.768931310016274,203953200
2015-05-05,27.94696044921875,28.535666910420105,27.942516422209852,28.46902006448425,197085600
2015-05-06,27.771453857421875,28.15800109012273,27.4048996580972,28.115791315351583,288564000
2015-05-07,27.943233489990234,28.126160542069265,27.66661076578918,27.83392215617779,175763600
2015-05-08,28.469707489013672,28.469707489013672,28.132853405005918,28.26000999669395,222201600
2015-05-11,28.179689407348633,28.456310328431748,28.025762439836637,28.418386835617703,168143200
2015-05-12,28.07931137084961,28.304622800272487,27.84507476175054,28.01907832189072,192640000
2015-05-13,28.11054039001465,28.373777003589282,28.079309071622678,28.141771708406623,138776800
2015-05-14,28.766399383544922,28.766399383544922,28.36708443215777,28.422854885946716,180814000
2015-05-15,28.72624397277832,28.88686313904668,28.601318711004723,28.793169192716487,152832000
2015-05-18,29.04302215576172,29.161255245868418,28.634782024202263,28.63924461362847,203531600
2015-05-19,29.01624870300293,29.196944399824076,28.920321767728332,29.154558317071896,178532800
2015-05-20,29.014019012451172,29.219253864567587,28.853399840541243,29.000634648785045,145819600
2015-05-21,29.31072425842285,29.36426512807288,28.962717115594927,29.016257985244955,158921600
2015-05-22,29.567264556884766,29.66319151483739,29.31295140420748,29.35757049383677,182384000
2015-05-26,28.915868759155273,29.649809963330227,28.804327832413943,29.580655133384035,282790400
2015-05-27,29.455724716186523,29.50480299340374,29.0117940322109,29.076486268201553,183332800
2015-05-28,29.397716522216797,29.435640016117567,29.246022546613716,29.415563472986186,122933200
2015-05-29,29.06310272216797,29.324108074389464,28.978330531136447,29.275029795787933,203538000
2015-06-01,29.12110710144043,29.31072806091987,29.011799158834535,29.063107038097698,128451200
2015-06-02,28.991714477539062,29.147871068876178,28.848942250608214,28.96940493422302,134670400
2015-06-03,29.027406692504883,29.210335427396807,28.978328417483077,29.147872787179708,123934000
2015-06-04,28.85786247253418,29.13002254734294,28.75747634093119,28.906940742021543,153800400
2015-06-05,28.699478149414062,28.931485175657727,28.63478591176388,28.889099080250205,142507200
2015-06-08,28.509859085083008,28.824405288183716,28.293469433641413,28.75524706027214,210699200
2015-06-09,28.425085067749023,28.572319885753103,28.02353881333458,28.26446588519156,224301600
2015-06-10,28.75078582763672,28.853401557823254,28.521010125158224,28.536625784357813,156349200
2015-06-11,28.686092376708984,29.040791677792328,28.66155323867411,28.81770984255118,141563600
2015-06-12,28.36931610107422,28.628091842543252,28.355931735818686,28.596860522294136,147544800
2015-06-15,28.313547134399414,28.38493325615415,28.04361830832747,28.130620091029197,175955600
2015-06-16,28.465238571166992,28.52100902357993,28.19084889840366,28.33808200774466,125976400
2015-06-17,28.3983154296875,28.527701587513736,28.273388457264044,28.49200938252072,131672400
2015-06-18,28.5277042388916,28.62362949532071,28.380471113895364,28.382702408783295,141628800
2015-06-19,28.242156982421875,28.51431706464247,28.1975413009342,28.489777929230502,218867600
2015-06-22,28.467470169067383,28.567856303688377,28.349237081009143,28.440699738911512,136157200
2015-06-23,28.338083267211914,28.467471131035477,28.304620653881102,28.438471107204354,121075600
2015-06-24,28.579011917114258,28.956020735183053,28.358161393253585,28.378237939977645,221123600
2015-06-25,28.442928314208984,28.82216667760684,28.442928314208984,28.746319685718866,127752400
2015-06-26,28.275617599487305,28.55223854954749,28.222078445083824,28.480852443016506,176267200
2015-06-29,27.780378341674805,28.21315761039988,27.769225272035214,27.987844499138156,196645600
2015-06-30,27.98115348815918,28.13508049264948,27.85399691548697,28.012384807623985,177482800
2015-07-01,28.242156982421875,28.3180056833259,28.106076941311578,28.309082206632535,120955200
2015-07-02,28.206466674804688,28.262237131404994,28.057000557611623,28.20423537998648,108844000
2015-07-06,28.10831069946289,28.15962026945185,27.851766253476693,27.87184450329126,112241600
2015-07-07,28.039155960083008,28.141773398387514,27.610837549881598,28.083771645613904,187787200
2015-07-08,27.3431396484375,27.804918965307255,27.336447465899855,27.769226757780043,243046400
2015-07-09,26.785436630249023,27.675532700928322,26.595817405444773,27.628685718469345,314380000
2015-07-10,27.50152015686035,27.628676696865487,27.039740964001833,27.20259140392783,245418000
2015-07-13,28.03246307373047,28.054770915935904,27.73353254184397,27.891920434075615,165762000
